,0
154,Surya sir . best perfomance. national award winning performance. what a filim.not just a filim. its an emotion
155,Biopics are always great..This will be one of masterpieces in biopics...great acting and wonderfull screen presence
156,"Outstanding perfomance from Suriya sir. u nailed it sir. Special mention to Aparna Balamurali and Urvashi mam. Very happy to watch this film. It felt like watching a FDFS when i started streaming at 10PM, 11 Nov on PrimeVideo. Excellent screenplay. there is no lag anywhere. Kudos to the entire team of Soorari Pottru.Thank you suriya sir for the fantastic performance once again.!"
157,"Surya back to form,the story is excellent, excellent acting from Surya,and excellent acting from whole crew"
158,Must watch!.... realistic and inspirational characters
159,The most awaited movie in 2020 has released today and suriya and Aparna balamurali acting has taken this movie into next step and Sudha kongara direction such an inspirational movie everyone should watch
160,The movie just breaks all its limits and tells the story of a man who just keeps on trying after facing like infinite number of obstacles which keep on getting harder and finally succeeds in it . suriya's acting deserves National award for this movie and Sudha kongara's direction is exceptional though it has a little bit lag in the second half . The movie just exceptional on the whole
161,"MASTERPIECE
There is only one word to describe SooraraiPottru - EPIC!!!."
162,Worth to watch . surya anna vera level of acting 💯💥
163,Wonderfull movie it is more inspiration for young people who wants to achieve their goals every cast and crews as lived in their roles no words about Surya already he proved as a wonderful actor when I was watching the movie really I felt that I was in the role of the movie it was great experience when I was watching movie so guys don't miss this movie soorarai pottru thanks to the director that she as choosen the real story of the great achievers
164,"Casting, acting, screenplay are major positives. Musical background was excellent, and suriya acting gave life to the film."
165,Worth to watch a movie 💯. especially bgm have a separate impact in every scene
166,Some things are sooo cliche and outdated. The movie is really good to watch. Surya did pounce back!
167,"Make a OSCAR award for this movie. A power packed rugged natural and true story by sudha mam and my heartbeat suriya sir with intensive , smashing performance and with life of bgm by g.v.prakash brother..My review in one word sooraraipottru = OSCAR AWARD 🔥✈ Dream it, archive it and simple fly"
168,"Epic...film with good content
Super direction...sudha u nailed it"
